"";"site_id";"nature";"nom_prodcartofriches";"site_statut";"geom"
"1430";"59285_15978";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.41454625822771, 50.2594282735405)
"1431";"28054_4940";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.41115989521334, 48.660235876718)
"1432";"24396_16883";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.02602783967641, 44.8671741365859)
"1433";"28059_4144";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.0805821414295, 48.690844569159)
"1434";"17283_17409";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-0.546637088866023, 45.5903376030875)
"1435";"69018_12900";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(4.58482061698531, 46.1564395342789)
"1436";"54343_5271";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(5.80863603320471, 48.8543227227641)
"1437";"76219_14198";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(0.778895037221963, 49.7197934007797)
"1438";"70451_20662";"retour utilisateur";"Contribution utilisateur";"inconnu";c(6.6527907601801, 47.7013670227647)
"1439";"24441_16796";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(0.688353691571797, 44.7189686899915)
"1440";"80802_5199";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.09999302025839, 49.9772568245206)
"1441";"80205_15851";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.00898259706007, 50.0077835578099)
"1442";"70157_7229";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.6205552463426, 47.6635057378423)
"1443";"59502_1871";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.35467194462324, 50.2010790179715)
"1444";"89342_19623";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.27013386629449, 48.213630990671)
"1445";"29241_20151";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-3.83165026509462, 47.9608882550971)
"1446";"41232_13926";"MTE";"Friche étude Ademe 2021";"inconnu";c(1.98924545139505, 47.4287303600014)
"1447";"16355_8038";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(-0.40706533283434, 45.7642237740868)
"1448";"52250_8763";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(5.14794640713337, 48.4369768069109)
"1449";"17197_14044";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-0.404221449305821, 45.4424090893753)
"1450";"18209_5038";"Ademe";"Friche étude Ademe 2021, intéressante pour du PV au sol";"inconnu";c(2.48647674713689, 46.6969062652987)
"1451";"03277_13734";"MTE";"Friche étude Ademe 2021";"inconnu";c(3.03079916019481, 46.3132043647231)
"1452";"59555_21542";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(4.03263906297547, 50.1651697509476)
"1453";"34187_15559";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.91215371529576, 43.5564396825876)
"1454";"72347_19216";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-0.137192070343551, 47.8888921640447)
"1455";"67183_939";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(7.03240209849902, 48.9352733546382)
"1456";"72346_9432";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(0.0297217450456519, 47.888216541236)
"1457";"72346_9555";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(0.0284936758793359, 47.8904683618815)
